Listing_uid,original_type,winner,reason,score_house,score_apartment,score_commercial,score_land,max_score,winner_margin,tie_flag,top_categories,changed,text_sample
csmgc-20260415-0001,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,enchanted forest; imagina vivir en este departamento de 1 ha enchanted forest; imagina vivir en este
csmgc-20260415-0002,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,crystal sea; imagina vivir en este departamento de 3 habitac crystal sea; imagina vivir en este depa
csmgc-20260415-0003,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,ro tranquilo; imagina vivir en este departamento de 2 habita ro tranquilo; imagina vivir en este dep
csmgc-20260415-0004,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,ro tranquilo; imagina vivir en este departamento de 4 habita ro tranquilo; imagina vivir en este dep
csmgc-20260415-0005,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,residencial chessboard; imagina vivir en este departamento d residencial chessboard; imagina vivir e
csmgc-20260415-0006,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,ro tranquilo; imagina vivir en este departamento de 2 habita ro tranquilo; imagina vivir en este dep
csmgc-20260415-0007,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,isla del sol; imagina vivir en este departamento de 2 habita isla del sol; imagina vivir en este dep
csmgc-20260415-0008,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,viento del norte; imagina vivir en este departamento de 3 ha viento del norte; imagina vivir en este
csmgc-20260415-0009,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,montaas mgicas; imagina vivir en este departamento de 3 habi montaas mgicas; imagina vivir en este d
csmgc-20260415-0010,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,magic mountains; imagina vivir en este departamento de 1 hab magic mountains; imagina vivir en este 
csmgc-20260415-0011,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,ciudad esmeralda; imagina vivir en este departamento de 3 ha ciudad esmeralda; imagina vivir en este
csmgc-20260415-0012,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,hidden harbor; imagina vivir en este departamento de 4 habit hidden harbor; imagina vivir en este de
csmgc-20260415-0013,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,ciudad esmeralda; imagina vivir en este departamento de 1 ha ciudad esmeralda; imagina vivir en este
csmgc-20260415-0014,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,the fortress; imagina vivir en este departamento de 2 habita the fortress; imagina vivir en este dep
csmgc-20260415-0015,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,magic mountains; imagina vivir en este departamento de 2 hab magic mountains; imagina vivir en este 
csmgc-20260415-0016,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,square circle; imagina vivir en este departamento de 1 habit square circle; imagina vivir en este de
csmgc-20260415-0017,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,puerto escondido; imagina vivir en este departamento de 4 ha puerto escondido; imagina vivir en este
csmgc-20260415-0018,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,amanecer dorado; imagina vivir en este departamento de 4 hab amanecer dorado; imagina vivir en este 
csmgc-20260415-0019,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,lago sereno; imagina vivir en este departamento de 4 habitac lago sereno; imagina vivir en este depa
csmgc-20260415-0020,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,cascada azul; imagina vivir en este departamento de 3 habita cascada azul; imagina vivir en este dep
csmgc-20260415-0021,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,residencial chessboard; imagina vivir en este departamento d residencial chessboard; imagina vivir e
csmgc-20260415-0022,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,amanecer dorado; imagina vivir en este departamento de 2 hab amanecer dorado; imagina vivir en este 
csmgc-20260415-0023,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,emerald city; imagina vivir en este departamento de 1 habita emerald city; imagina vivir en este dep
csmgc-20260415-0024,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,golden dawn; imagina vivir en este departamento de 3 habitac golden dawn; imagina vivir en este depa
csmgc-20260415-0025,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,emerald city; imagina vivir en este departamento de 3 habita emerald city; imagina vivir en este dep
csmgc-20260415-0026,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,roca azul; imagina vivir en este departamento de 3 habitacio roca azul; imagina vivir en este depart
csmgc-20260415-0027,House,Apartment,POINTS:Apartment(18),12,18,-3,-15,18,6,FALSE,Apartment,TRUE,nuncajamas; imagina vivir en este departamento de 3 habitaci nuncajamas; imagina vivir en este depar
