Listing ID,title,neighborhood,bedrooms,bathrooms,AT,AT_unit,area,area_unit,area_m2,price,currency,transaction,property_type,agency,date,notes,source_type,ingestion_id,pipeline_version
2,"Centro de Toontown: apartamento hermoso y muy cómodo, 2 hab ",Centro de Toontown,2,1.0,,,65,m²,,480.0,USD,Rent,House,Loontoon,2010-05-11,"Centro de Toontown: apartamento hermoso y muy cómodo, 2 hab 1 baño 65 m2 balcón pequeño, sin garaje, agua 24 hrs (de bozo) ambiente tranquilo, edificio seguro, $480 mensuales",ocr_manual,loontoon_20100511.txt,v1.0
3,Barrio Carrot Hills: casa cómoda de 2 habitaciones 1 baño 12,Barrio Carrot Hills,2,1.0,,,120,m²,,600.0,USD,Rent,House,Loontoon,2010-05-11,"Barrio Carrot Hills: casa cómoda de 2 habitaciones 1 baño 120 m2 patio frontal, ideal familia pequeña, zona tranquila agua permanente, $600 al mes",ocr_manual,loontoon_20100511.txt,v1.0
4,Sector Old Studio: apartamento sencillo 1 hab 1 baño 42 m² e,Sector Old Studio,1,1.0,,,42,m²,,350.0,USD,Rent,House,Loontoon,2010-05-11,"Sector Old Studio: apartamento sencillo 1 hab 1 baño 42 m2 edificio antiguo pero seguro, ambiente agradable excelente ubicación, $350 mensuales",ocr_manual,loontoon_20100511.txt,v1.0
5,Avenida Warner: casa hermosa de 3 hab 2 baños 150 m² sala am,Avenida Warner,3,2.0,,,150,m²,,720.0,USD,Rent,House,Loontoon,2010-05-11,"Avenida Warner: casa hermosa de 3 hab 2 baños 150 m2 sala amplia, buena ventilación, circuito cerrado cerca de comercios y transporte, $720 mensuales",ocr_manual,loontoon_20100511.txt,v1.0
6,"Colonia Bunny Park: apartamento muy cómodo, 2 hab 1 baño 70 ",Colonia Bunny Park,2,1.0,,,70,m²,,510.0,USD,Rent,House,Loontoon,2010-05-11,"Colonia Bunny Park: apartamento muy cómodo, 2 hab 1 baño 70 m2 segundo nivel, zona residencial, agua 24 hrs (de bozo) ambiente familiar, $510 al mes",ocr_manual,loontoon_20100511.txt,v1.0
7,"Camino del Lago: casa sencilla y fresca, 2 habitaciones 1 ba",Camino del Lago,2,1.0,,,95,m²,,470.0,USD,Rent,House,Loontoon,2010-05-11,"Camino del Lago: casa sencilla y fresca, 2 habitaciones 1 baño 95 m2 sin garaje, buena iluminación natural agua permanente, $470 mensuales",ocr_manual,loontoon_20100511.txt,v1.0
8,Barrio Central Toons: apartamento hermoso 3 hab 2 baños 90 m,Barrio Central Toons,3,2.0,,,90,m²,,690.0,USD,Rent,House,Loontoon,2010-05-11,"Barrio Central Toons: apartamento hermoso 3 hab 2 baños 90 m2 buena iluminación, edificio con circuito cerrado zona segura, $690 mensuales",ocr_manual,loontoon_20100511.txt,v1.0
9,"Loma del Pato: casa familiar amplia, 4 hab 2 baños 180 m² pa",Loma del Pato,4,2.0,,,180,m²,,880.0,USD,Rent,House,Loontoon,2010-05-11,"Loma del Pato: casa familiar amplia, 4 hab 2 baños 180 m2 patio grande, zona tranquila y fresca agua 24 hrs, $880 mensuales",ocr_manual,loontoon_20100511.txt,v1.0
11,Centro de Toontown: apartamento hermoso 2 hab 1 baño 68 m² b,Centro de Toontown,2,1.0,,,68,m²,,66000.0,USD,Sale,House,Loontoon,2010-05-11,"Centro de Toontown: apartamento hermoso 2 hab 1 baño 68 m2 balcón frontal, edificio antiguo bien conservado excelente ubicación, $66,000",ocr_manual,loontoon_20100511.txt,v1.0
12,Barrio Carrot Hills: casa cómoda de 3 habitaciones 2 baños 1,Barrio Carrot Hills,3,2.0,,,140,m²,,112000.0,USD,Sale,House,Loontoon,2010-05-11,"Barrio Carrot Hills: casa cómoda de 3 habitaciones 2 baños 140 m2 patio trasero y corredor, zona tranquila circuito cerrado, $112,000",ocr_manual,loontoon_20100511.txt,v1.0
