N°,NOMBRE DE BARRIO O COLONIA,neighborhood,CIUDAD,TIPO O COLONIA,SE CT O R,ZONIFICA CIÓN,approval_year,DICTAMEN / ACUERDO DE APROBACION,PARAMETROS  MINIMOS (APROBADOS EN DICTAMEN/ACUERDO)
962,VILLA NUEVA SUYAPA 1,VILLA NUEVA SUYAPA 1,TEGUCIGALPA,Barrio/Colonia,29,R3,,,
963,VILLA NUEVA SUYAPA 2,VILLA NUEVA SUYAPA 2,TEGUCIGALPA,Barrio/Colonia,29,R3,,,
964,VILLA NUEVA SUYAPA 3,VILLA NUEVA SUYAPA 3,TEGUCIGALPA,Barrio/Colonia,29,R3,,,
965,VILLA NUEVA SUYAPA 4,VILLA NUEVA SUYAPA 4,TEGUCIGALPA,Barrio/Colonia,29,R3,,,
966,VILLAS NUEVA SUYAPA,VILLAS NUEVA SUYAPA,TEGUCIGALPA,Barrio/Colonia,29,R4,2001,"MODIFICACION BAJO DICTAMEN No.
SCU/DM/AMDC
/029/2001 EN FECHA 15/6/2001, NO FUE
ENTREGADO",R4=45M²/3.5ML
967,VISTA HERMOSA,VISTA HERMOSA,TEGUCIGALPA,Barrio/Colonia,29,R3,,,
968,ZAPOTE,ZAPOTE,TEGUCIGALPA,Barrio/Colonia,29,R3,,,
969,BOSQUES DE ALTAMIRA,BOSQUES DE ALTAMIRA,TEGUCIGALPA,Barrio/Colonia,32,R3,2007,"RESOLUCION 001-2007 DE
FECHA 28 DE FEBRERO DEL 2007. (PLANO Y
DICTAMEN)",R3= 120M²/10ML
970,BRISAS DE ORIENTE,BRISAS DE ORIENTE,TEGUCIGALPA,Barrio/Colonia,32,R4,2004,"ACUERDO No. 250-2004 DE
FECHA 28 DE NOVIEMBRE DEL 2004. DICT
001-2004 EL 8 DE ENERO DEL 2004 (PLANO Y
DICTAMEN).",R4=45M²/3.5ML
971,NUEVA ORIENTAL Y MIRADOR DE ORIENTE,NUEVA ORIENTAL Y MIRADOR DE ORIENTE,TEGUCIGALPA,Barrio/Colonia,32,R3,2011,"ACUERDO No. 025 APROBADO
DE FECHA 23 DE AGOSTO DEL 2011 PLANO Y
DICTAMEN.",R3=120M²/7ML
972,VILLAS DEL CAMPO,VILLAS DEL CAMPO,TEGUCIGALPA,Barrio/Colonia,32,R3,,,
973,VILLAS DEL CAMPO I,VILLAS DEL CAMPO I,TEGUCIGALPA,Barrio/Colonia,32,R3,,,
974,VILLAS DEL CAMPO II,VILLAS DEL CAMPO II,TEGUCIGALPA,Barrio/Colonia,32,R3,,,
975,"RES. ALCAZAR DEL
SUR",RES. ALCAZAR DEL SUR,TEGUCIGALPA,Barrio/Colonia,34,R3,,,
976,ALTOS DE SANTA ROSA,ALTOS DE SANTA ROSA,TEGUCIGALPA,Barrio/Colonia,35,R3,2000,"ACUERDO 006-
2000 DE FECHA
20 DE JUNIO
DEL 2000.",R3=120M²/7ML
977,CIUDAD TÉCNOLÓGICA ROSA DE LOBO   (ALCAZAR DEL SUR),CIUDAD TÉCNOLÓGICA ROSA DE LOBO (ALCAZAR DEL SUR),TEGUCIGALPA,Barrio/Colonia,35,R3,2013,"RESOLUCIÓN JAT 019-2013
DE FECHA 24 DE JULIO DE
2013",R3=45M²/3.5ML
978,CONCEPCION II ETAPA,CONCEPCION II ETAPA,TEGUCIGALPA,Barrio/Colonia,35,R3,2016,"DICTAMEN No. 16-099-GCC- AMDC DE FECHA 26 DE OCTUBRE DEL 2016 (PLANO Y
DICTAMEN).",R3=120M²/7ML
979,LAS MARGARITAS,LAS MARGARITAS,TEGUCIGALPA,Barrio/Colonia,35,R3,,,
980,LOMAS DE MARIA AUXILIADORA,LOMAS DE MARIA AUXILIADORA,TEGUCIGALPA,Barrio/Colonia,35,R3,2016,"DICTAMEN FINAL DE URBANIZACION No 16-092-GCC- AMDC DE FECHA 18 DE OCTUBRE DEL 2016 (PLANO Y
DICTAMEN).",R3=120M²/7ML
981,MARIA MERCEDES,MARIA MERCEDES,TEGUCIGALPA,Barrio/Colonia,35,R3,2016,"DICTAMEN No. 16-033-GCC- AMDC DE FECHA 06 DE
ABRIL DEL 2016
(PLANO Y DICTAMEN).",R3=120M²/7ML
982,PRADERAS DIGNAS I Y II ETAPA,PRADERAS DIGNAS I Y II ETAPA,TEGUCIGALPA,Barrio/Colonia,35,R4,2017,"RESOLUCION No 013-2017- GCC-AMDC DE FECHA 26 DE OCTUBRE DEL
2017 (PLANO Y DICTAMEN).",R4=45M²/3.5ML
983,URBANIZACION LOMAS DEL SUR,URBANIZACION LOMAS DEL SUR,TEGUCIGALPA,Barrio/Colonia,35,R4,2008,"DICTAMEN 91-
08 DE FECHA
24 DE JULIO
DEL 2008 (PLANO Y DICTAMEN).",R4=75M²/7ML
984,HACIENDA REAL I ETAPA,HACIENDA REAL I ETAPA,TEGUCIGALPA,Barrio/Colonia,36,R3,2015,"DICTAMEN No. 15-041-GCC- AMDC DE FECHA 25 DE FEBRERO DE 2015. (PLANO Y
DOCUMENTO).",R3=120M²/7ML
985,HACIENDA REAL II ETAPA PARTE - A   - Y PARTE -B-,HACIENDA REAL II ETAPA PARTE - A - Y PARTE -B-,TEGUCIGALPA,Barrio/Colonia,36,R3,2016,"DICTAMEN No. 16-001-GCC- AMDC DE FECHA 06 DE ENERO DEL 2016. (PARTE A).
DICTAMEN No. 16-066-GCC- AMDC DE FECHA 21 DE SEPTIEMBRE DE 2016.
(PARTE B).",R3=120M²/7ML
986,LA ARBOLEDA,LA ARBOLEDA,TEGUCIGALPA,Barrio/Colonia,36,R4,2017,"PLANO APROBADO MEDIANTE EXPEDIENTE No. 352   Y RESOLUION No.
003-2017 DE
GRCHA 7 DE
FEBRERO DEL 2017.",R4=75M²/7ML
987,LAS CASITAS RESIDENCIAL,LAS CASITAS RESIDENCIAL,TEGUCIGALPA,Barrio/Colonia,36,R3,2013,"DICTAMEN No. 13-0072-GCCAMDC DE
36 R3
FECHA 03 DE OCTUBRE DEL 2013 (PLANO Y DICTAMEN).",R3=132M2/8ML
988,PINO VERDE,PINO VERDE,TEGUCIGALPA,Barrio/Colonia,36,R3,2013,"DICTAMEN No. 13-0072-GCCAMDC DE
36 R3
FECHA 03 DE OCTUBRE DEL 2013 (PLANO Y DICTAMEN).",R3=75M2/3ML
989,ALTOS DE MONTE REAL,ALTOS DE MONTE REAL,TEGUCIGALPA,Barrio/Colonia,38,R1,1992,"DICTAMEN No. 193-92 DE FECHA 22 DE DICIEMBRE DE 1992 REGISTRADO BAJO EL No.0508 DE FECHA 29 DE BAJO EL No.
0508 DE FECHA 29 DE
DICIEMBRE DE 1995. (PLANO Y DICTAMEN).
DICIEMBRE DE 1995. (PLANO Y DICTAMEN).",R1=400M2/15ML
990,CAMPO VERDE,CAMPO VERDE,TEGUCIGALPA,Barrio/Colonia,41,R3,,,
991,CIUDAD ESPAÑA,CIUDAD ESPAÑA,TEGUCIGALPA,Barrio/Colonia,41,R3,2010,"No. 87-2010 DE FECHA 16 DE JUNIO DEL
RESOLUSION R3=120M2/7ML 2010 ",R3=120M2/7ML
992,DIVINA PROVIDENCIA,DIVINA PROVIDENCIA,TEGUCIGALPA,Barrio/Colonia,41,R3,2011,"RESOLUCION No. JAT-035 2011 DE
FECHA ",R3=120M2/7ML
993,EL STIBYS / ECO URBANIZACIONES,EL STIBYS / ECO URBANIZACIONES,TEGUCIGALPA,Barrio/Colonia,41,R/R4,2008,"2008 DE FECHA 5 DE AGOSTO DEL 2008, CON RESO.NO JAT 25-2008 EXPE. NO.3034. (PLANO).
DICTAMEN NO.GM-105",R4= 70M/6ML
994,PARQUE LOGISTICO AMARATECA (CONDOMINIO HORIZONTAL),PARQUE LOGISTICO AMARATECA (CONDOMINIO HORIZONTAL),TEGUCIGALPA,Barrio/Colonia,41,D1,2017,"RESOLUCION No. 001-2017GCC-AMDC DE FECHA 03 DE ENERO DEL
2017 (PLANO Y DICTAMEN).",D1=400M2/15ML
995,QUINTAS DE ZAMBRANO,QUINTAS DE ZAMBRANO,TEGUCIGALPA,Barrio/Colonia,42,UR,,,
996,VILLA DE ZAMBRANO,VILLA DE ZAMBRANO,TEGUCIGALPA,Barrio/Colonia,42,R3,,,
997,QUINTA GUAJINIQUIL,QUINTA GUAJINIQUIL,TEGUCIGALPA,Barrio/Colonia,45,UR,1999,"DICTAMEN No. SCU-DM-AMDC 004-99 DE FECHA 22 DE DICIEMBRE DE 1999
(DICTAMEN).",R=1000M*
998,ALDEA SANTA CRUZ,ALDEA SANTA CRUZ,TEGUCIGALPA,Barrio/Colonia,54,R3,,,
999,BRICEÑO,BRICEÑO,TEGUCIGALPA,Barrio/Colonia,54,R3,2009,"RESOLUCION 
No. JAT-069-2009 DE FECHA
03 DE
SEPTIEMBRE
DEL 2009
(PLANO Y
DICTAMEN).",R3=45M2/3ML
1000,LA PEDRERA,LA PEDRERA,TEGUCIGALPA,Barrio/Colonia,54,R3,,,
1001,MARIA JOSE,MARIA JOSE,TEGUCIGALPA,Barrio/Colonia,54,R4,2015,"DICTAMEN DE
MODIFICACION
NO. 15-48-GCCAMDC
DE
FECHA 15 DE
MAYO DEL 2015
(PLANO Y
DICTAMEN).",R4=45M2/3.5M
1002,SAN MIGUEL ARCANGEL,SAN MIGUEL ARCANGEL,TEGUCIGALPA,Barrio/Colonia,54,R3,,,
1003,VILLA LIA,VILLA LIA,TEGUCIGALPA,Barrio/Colonia,54,UR,1999,"DICTAMEN No.
SCU/DM/AMDC
/034/99 DE
FECHA 20 DE
OCTUBRE DE
1999
(DICTAMEN).",R=1000M2
1004,OASIS,OASIS,TEGUCIGALPA,Barrio/Colonia,55,UR,2007,"DICTAMEN No.
030-2007 DE
FECHA 5 DE
JULIO DEL 2007
(DICTAMEN).",R3=120M2/10ML
1005,PINARES DE SANTA CRUZ,PINARES DE SANTA CRUZ,TEGUCIGALPA,Barrio/Colonia,55,UR,2003,"DICTAMEN No.
SCU-DM-AMDC
005-2003 DE
FECHA 28 DE
ENERO DEL
2003 (PLANO Y
DICTAMEN).",UR=1000M2
1006,RES. VILLA ELENA (PARTE),RES. VILLA ELENA (PARTE),TEGUCIGALPA,Barrio/Colonia,55,R1,,,
1007,SAN JOSE,SAN JOSE,TEGUCIGALPA,Barrio/Colonia,55,R3,2017,"RESOLUCION
No. DOT-011-
2017 DE FECHA
08 DE MAYO
DEL 2017
(PLANO Y
DICTAMEN).",R3=120M2/10ML
1008,VILLA ELENA,VILLA ELENA,TEGUCIGALPA,Barrio/Colonia,55,UR,1991,"ACUERDO No.
142-91 DE
FECHA 15DE
JULIO DE 1991
(ACUERDO).
DICTAMEN No.
18-2001 DE
FECHA 09 DE
MAYO DEL 2001
(DICTAMEN).",R=1000M*
1009,VILLA SAN JOSE DEL CARRIZAL,VILLA SAN JOSE DEL CARRIZAL,TEGUCIGALPA,Barrio/Colonia,55,R3,2012,"RESOLUCION
No. JAT -081-
2012 DE FECHA
30 DE AGOSTO
DEL 2012
(PLANO Y
DICTAMEN).",R3=120M2/10ML
1010,CIUDAD ESPERANZA /EXP -6500-15 / 4251-15,CIUDAD ESPERANZA /EXP -6500-15 / 4251-15,TEGUCIGALPA,Barrio/Colonia,56,R3,,"DICTAMEN No.
16-022-GCCAMDC
DE
FECHA 07 DE
MARZO DEL",R4=45M2/3.5ML
1011,PENIEL,PENIEL,TEGUCIGALPA,Barrio/Colonia,56,R3,,,
1012,VILLA MADRID,VILLA MADRID,TEGUCIGALPA,Barrio/Colonia,56,R3,2005,"MODIFICACION
BAJO
DICTAMEN No.
SCU/DM/AMDC
/042/2005 DE
FECHA 11 DE
AGOSTO DEL
2005.",R3=120M2/7ML
1013,VILLA MILLER,VILLA MILLER,TEGUCIGALPA,Barrio/Colonia,56,R3,,,
1014,CARPINTERO(CASERIOASERRADERO EL PINO),CARPINTERO(CASERIOASERRADERO EL PINO),TEGUCIGALPA,Barrio/Colonia,58,HATILLO,,,
1015,CARPINTERO (VILLA CAMPESINA),CARPINTERO (VILLA CAMPESINA),TEGUCIGALPA,Barrio/Colonia,58,HATILLO,,,
1016,VILLA CAMPESINA,VILLA CAMPESINA,TEGUCIGALPA,Barrio/Colonia,58,R3,,,
1017,TRAVESIA SECTOR 5,TRAVESIA SECTOR 5,TEGUCIGALPA,Barrio/Colonia,16/29,R3,2007,2007,R3=120M2/7ML
1018,VILLA NUEVA 7 A-B ,VILLA NUEVA 7 A-B,TEGUCIGALPA,Barrio/Colonia,18/20,R4,2004,2004,R4=45M2/3.5ML
1019,VILLA NUEVA SECTOR 1,VILLA NUEVA SECTOR 1,TEGUCIGALPA,Barrio/Colonia,18/21,R4,1996,1996,R4=45M2/3.5ML
1020,VILLA NUEVA SECTOR 5,VILLA NUEVA SECTOR 5,TEGUCIGALPA,Barrio/Colonia,18/22,R4,2006,2006,R4=45M2/3.5ML
1021,VILLA NUEVA SECTOR 6,VILLA NUEVA SECTOR 6,TEGUCIGALPA,Barrio/Colonia,18/23,R4,2005,2005,R4=45M2/3.5ML
1022,VILLA SANTA MARIA,VILLA SANTA MARIA,TEGUCIGALPA,Barrio/Colonia,18/29,R3,2003,2003,"R2=200M?/10ML
R3=120M2/7ML"
1023,"ILAMAPA, CIUDAD SATELITE","ILAMAPA, CIUDAD SATELITE",TEGUCIGALPA,Barrio/Colonia,46/47,R4,2006,2006,R4=72M2/6.0ML
